timeframe,strategy,trades,winrate,winrate_ci_low,winrate_ci_high,total_return,sharpe,max_dd
1D,SMA 20/50,16,0.5,31.25,75.0,0.7394424220415134,6.368748163176588,0.1791847060652835
1D,SMA 50/200,4,1.0,0.0,0.0,1.2611637147557164,8.612546756899832,0.11852686644718702
1D,RSI 14,5,1.0,0.0,0.0,0.19338493465212978,21.523580496232107,0.10005672174929424
1D,MACD 12/26/9,3,1.0,0.0,0.0,1.3198150843924918,10.006917551487502,0.12008304434451629
4h,SMA 20/50,79,0.43037974683544306,32.91139240506329,54.43037974683544,0.7488360615597514,3.502247000539641,0.1501684584052966
4h,SMA 50/200,28,0.39285714285714285,21.428571428571427,57.14285714285714,0.6535419255774981,4.864688929759451,0.19800756219839682
4h,RSI 14,36,0.6388888888888888,47.22222222222222,77.77777777777779,0.35364012572227455,5.1832229102472285,0.17003384586194803
4h,MACD 12/26/9,20,0.5,30.0,70.0,0.7746770744956554,6.720405047975687,0.15327817225716073
1h,SMA 20/50,323,0.4458204334365325,39.318885448916404,49.84520123839009,0.7706798844249981,2.202342013044991,0.16680880247703697
1h,SMA 50/200,84,0.4523809523809524,34.523809523809526,55.952380952380956,0.8725515245864742,3.7487851041733555,0.15209052799662906
1h,RSI 14,114,0.6403508771929824,55.26315789473685,73.68421052631578,0.11336872429337146,1.083444619929049,0.12190699868327592
1h,MACD 12/26/9,77,0.45454545454545453,35.064935064935064,57.14285714285714,0.9262605251836631,4.769203343999498,0.1532045734227711
